treebank 	ttr	ttr_sd	msp	msp_sd	ws	ws_sd	wh	wh_sd	lh	lh_sd	is	is_sd	mfh	mfh_sd
Norwegian-Nynorsk	0.28209	0.0026736491916479993	1.2525502808716422	0.007653007850271399	0.394745901693143	0.005925359193622989	9.896168761800393	0.018767748630876175	9.419661964466899	0.030594079910711232	5.2	1.469693845669907	3.780595883290398	0.43804424845504275
English-LinES	0.20241000000000003	0.002002223763718734	1.2410567660392524	0.0044529355081178845	0.31504993266534836	0.007832769729750607	9.422359288961955	0.022764010070854854	8.927468542524498	0.01782222348255101	7.2	0.39999999999999997	3.7348129734097055	0.37983319438161045
French-Sequoia	0.211375	0.003728287140229406	1.2901351758756576	0.008395768913319722	0.4988416163864947	0.010310185923867033	9.33019250790632	0.0182896829100661	8.48536308601869	0.03345702694002165	7.0	0.0	3.3475060368811795	0.30176793570001204
Finnish-FTB	0.47367499999999996	0.0035005892361144	1.6664660946960559	0.011598962606758204	0.4788649033699654	0.0029749446481348446	11.796047736581803	0.02572075704130923	10.320823688127417	0.027697195685154385	15.1	0.3	3.796978271031145	0.6984525178023381
Indonesian-GSD	0.30223999999999995	0.004468713461389081	1.0369564862681595	0.0019233252519573118	0.33557118925670903	0.006123486576555668	10.740434739586899	0.02279570254784084	10.69554844955834	0.02889977357385054	6.8	0.39999999999999997	2.7201503496230632	0.3017024028470284
Ukrainian-IU	0.44326999999999994	0.004372710829679902	1.4200608072831458	0.005146948114728376	0.44075186399985605	0.004602670333115606	11.538962965996078	0.03181282761799709	10.804735112350578	0.028275652225515847	8.9	0.3	3.8497571301158864	0.7151714707452331
Dutch-LassySmall	0.26904	0.00311294073184826	1.141689375407433	0.005518598514341731	0.4399825684043738	0.005307450422823868	9.837176198153339	0.019942392514258396	9.522590077840766	0.017648566996433315	3.0	0.0	3.367060759062505	0.18083677166933493
Portuguese-Bosque	0.284785	0.00299616838645628	1.2645729409733741	0.008385985278404978	0.41716939950377635	0.006831016180730755	9.293635497403727	0.023524309404710057	8.707805091127828	0.034310586312580216	7.0	0.0	3.349092644330537	0.24607297625942964
Italian-PoSTWITA	0.24230000000000002	0.0021665641001364323	1.2513770909703494	0.007328412781373454	0.47316528914085965	0.005420752034626873	9.499806069408885	0.018276413336122194	8.798343168399317	0.02172348531194396	6.0	0.0	3.6751340333532974	0.2526280918176654
Latin-ITTB	0.18805	0.00219385505446463	2.318986246056965	0.02895836344713614	0.6210904413402698	0.006295386539707854	9.46729459382976	0.015404715612698277	8.149669178450331	0.030090202579856187	11.0	0.0	3.7397493763951317	0.6218122560457978
