treebank 	Norwegian-Nynorsk	English-LinES	French-Sequoia	Finnish-FTB	Indonesian-GSD	Ukrainian-IU	Dutch-LassySmall	Portuguese-Bosque	Italian-PoSTWITA	Latin-ITTB	Estonian-EDT	Croatian-SET	Gothic-PROIEL	Italian-ISDT	Norwegian-Bokmaal	Latvian-LVTB	Vietnamese-VTB	Greek-GDT	Spanish-GSD	Catalan-AnCora	English-EWT	Swedish-LinES	Russian-SynTagRus	Czech-PDT	Polish-LFG	Basque-BDT	Slovak-SNK	Spanish-AnCora	Finnish-TDT	Ancient_Greek-Perseus	Romanian-RRT	Latin-PROIEL	Hungarian-Szeged	Turkish-IMST	Slovenian-SSJ	Swedish-Talbanken	Italian-ParTUT	Czech-FicTree	Bulgarian-BTB	Ancient_Greek-PROIEL	Czech-CAC	Japanese-GSD	Korean-Kaist	English-GUM	Romanian-Nonstandard	German-GSD	Old_Church_Slavonic-PROIEL	Danish-DDT	Afrikaans-AfriBooms	French-GSD	Dutch-Alpino	Polish-SZ	Serbian-SET	Russian-GSD	English-ParTUT	Uyghur-UDT	Russian-avg	English-avg	Japanese-GSDOrig	Japanese-GSDLUWOrig	Japanese-GSDOrig1	Japanese-GSDOrig2	Japanese-GSDLUWOrig1	Japanese-GSDLUWOrig2
Norwegian-Nynorsk	1.0	0.9778115671570038	0.9765308479263198	0.8187924747373792	0.9875814594399298	0.973313307752002	0.9798361477936494	0.9781862782838584	0.9946978161203816	0.8516928331976047	0.9570996104088838	0.9930448272470087	0.8928998315763603	0.9937440653513385	0.9994807839114416	0.8459170137754396	0.8933967206451313	0.9286215562225041	0.9947334341826287	0.9942747785326409	0.9800196870886284	0.9932859612846588	0.9280841454520085	0.9006753936112362	0.9194549336351263	0.708503083146694	0.9476264818523975	0.9954197354634662	0.7503425721238988	0.9557166429873855	0.990223247457528	0.9480008265190897	0.9796221079621089	0.8656866816814499	0.9797400415322243	0.9548478905826109	0.9915418854464835	0.9089143578446109	0.943010301781733	0.9337831423312012	0.9119589890564173	0.8927052215007781	0.8927352233688028	0.9998518065562225	0.9207507850108835	0.9494567853867041	0.8870008577936987	0.9916231070343594	0.9811219622626735	0.9941602574411701	0.9800542741484305	0.9684776653066444	0.9976251114914356	0.9069777195944956	0.999913169002602	0.867462694601016	0.9176088320475314	0.9978359719325142	0.8923192445752157	0.8905401363654013	0.9109851379257858	0.909799948372562	0.9159287410981723	0.9112430251190791
English-LinES	0.9778115671570038	1.0	0.9990027642319326	0.9194616941400914	0.9860447388140057	0.9981539337440168	0.9165693779876768	0.9993611419746324	0.993774604920296	0.9408946327442413	0.994084376419046	0.9934207469393199	0.9655103215644081	0.9935926436090128	0.9705902373687583	0.9378090401758273	0.7872934757717144	0.9845044970748558	0.9935871159374257	0.9942264293996058	0.9998885011868601	0.9953014917742716	0.9838846418833634	0.9706705502069114	0.9808172401741458	0.8395156554600781	0.9927369103895417	0.9929054822947034	0.8707325095216973	0.9917218153831135	0.9965587655913493	0.9913457296251371	0.9985730175323517	0.9485927360125664	0.9990715154793931	0.9952571607727081	0.9950011986354597	0.9756478774931024	0.9910831005423505	0.9840632152909053	0.9765907422553373	0.7853539956971801	0.7874147326975476	0.9745323962904037	0.9797548310861706	0.9931917636166899	0.9601649736921505	0.9965708386374676	0.9207989559647461	0.9932583808976563	0.9166891344612063	0.998073625053036	0.9813183427245642	0.9725365388617028	0.9775700813744249	0.9506093073053625	0.9784489784835055	0.9893982612736731	0.7848901238130206	0.7827686337677309	0.9735096065901715	0.9728953276583093	0.9755749246434083	0.973631866434737
French-Sequoia	0.9765308479263198	0.9990027642319326	1.0	0.9225853452890345	0.987772619479796	0.9991319163458174	0.9156411728636088	0.999717148562795	0.9932499111216618	0.9432680153498605	0.9961754653212653	0.9943188467890436	0.9676241402051561	0.994168845868804	0.9691904277420096	0.9400524891206823	0.7908285414878656	0.9862771858190276	0.9933740971788704	0.9939108903888594	0.9988021233947375	0.9947469930084971	0.9857916893510429	0.9722818567941849	0.9819307110196867	0.8430229501467387	0.9936693771020991	0.9926222884821535	0.8740677176998308	0.9950132550778544	0.9968892683328311	0.9933149725849014	0.9993441496169952	0.9527236249761153	0.9997154948391918	0.9959874797664817	0.9957778556523708	0.9766314576601722	0.9920343024554117	0.9865493980563246	0.9783385227984162	0.7888709880510482	0.7908333130230863	0.9729980642263869	0.9807917485371136	0.994040230503252	0.962953591762892	0.9956637270870737	0.9173727481592178	0.9936977851240948	0.9151960172793422	0.9990696762995864	0.9826514951763821	0.9750341267504261	0.9761684769977303	0.9538947326957715	0.9806604127348093	0.9880804995300086	0.7883949732429194	0.7864250519793319	0.9762177109805555	0.9765698934863546	0.9779785648041495	0.9758543704013123
Finnish-FTB	0.8187924747373792	0.9194616941400914	0.9225853452890345	1.0	0.8721886984576591	0.9276756085082098	0.6913031942642561	0.9200593955939148	0.872395094473653	0.9936796169104631	0.9484527867634372	0.8779689810932789	0.9847481529661153	0.876022413673042	0.7999582308600814	0.9986315795386967	0.5107291376436084	0.9711970244341677	0.8731622222648094	0.8750865947749691	0.915325498772617	0.879590372279583	0.9731896124460224	0.9867341823084569	0.9784332836270723	0.9850053893312694	0.9592255654788888	0.8697571738903933	0.9937048144574759	0.9452503452038871	0.8902127376810577	0.9547973992894477	0.9163719264604262	0.9944015025025618	0.9168307910775813	0.9520564983630457	0.8835385812627555	0.9828849338927221	0.9630544065170442	0.9611674763467632	0.9821777291323991	0.506605894334319	0.5134757781684278	0.809852840412376	0.9701955528915631	0.9571393923756829	0.9816179876328083	0.8856165484426015	0.6939606368415431	0.8746195949083155	0.6898424528593764	0.9357769635176288	0.8373486818362432	0.9827787910753979	0.8178839870456012	0.9950114297767088	0.9785140779681457	0.8538788046779167	0.5059536048848609	0.5039271785621618	0.9788763339791412	0.9805963334859318	0.9752055561714891	0.9782412892373711
Indonesian-GSD	0.9875814594399298	0.9860447388140057	0.987772619479796	0.8721886984576591	1.0	0.9895332446754895	0.9513570296383743	0.9897716720702133	0.9917204944468598	0.8921058804432379	0.9809644320858504	0.9951511164449971	0.9242235732749082	0.9936783719034182	0.9835490122856715	0.8947689156568218	0.8635955627220854	0.9531039066329581	0.9941372314607329	0.9928506733160974	0.9878231235056083	0.9935014377115404	0.9604842614042151	0.9383662128331437	0.950527637157171	0.7757344921011361	0.9714221414520082	0.9937557798678733	0.8148089218746315	0.9752815150147582	0.9933857202342082	0.9670222376266454	0.9922105499797406	0.910964689531288	0.9893253242636765	0.9762449667629071	0.9922566913466746	0.9401787911164002	0.9685255628643424	0.9531073859968812	0.9468881019509613	0.8606817784388403	0.8650529112995885	0.986222361006925	0.941967893144473	0.9733348641170492	0.9169595268371018	0.9931134883738393	0.9454451249195712	0.994914713328208	0.948982577607334	0.9852977800304407	0.9922201673255574	0.9473880838662062	0.987618482673025	0.9123178855215254	0.9541403790699803	0.9919531744104904	0.860281824621452	0.8589985178784061	0.9525874766760094	0.9504563421700819	0.9569135471888791	0.9527098046400149
Ukrainian-IU	0.973313307752002	0.9981539337440168	0.9991319163458174	0.9276756085082098	0.9895332446754895	1.0	0.9109655154444675	0.9994861753118398	0.9906685825725245	0.9446919385888409	0.9979806666676352	0.9927966144459985	0.9678862588398561	0.9920379878832805	0.9655218951196239	0.9447535609941956	0.7879904946575814	0.9862753941133114	0.9915894897857471	0.9917134750745245	0.9981616614009626	0.9929802736576111	0.9886031333868334	0.9757183506805666	0.9841386322575857	0.849608613487606	0.9951162159078613	0.9905890043202494	0.8809021906896782	0.9948569535401297	0.9953400563179365	0.992577165443811	0.9994374789788981	0.9560296362535672	0.9990170451831146	0.9969123997130005	0.9932639343564762	0.9784600367275126	0.993637778037739	0.9851139358128742	0.9812209612260951	0.785599470084576	0.7892031559237451	0.9697742436229715	0.9795929550970852	0.9956785243849094	0.9623902236956526	0.9942608566848931	0.910850858644172	0.9920580836487305	0.9099817182853014	0.9996251276388158	0.9798903300449938	0.9793571790757724	0.9729005811657943	0.9572967289274857	0.9842501577361058	0.9856268361657747	0.7850773059923379	0.7832836751650663	0.9809987678722183	0.9806185451651076	0.9829750112894547	0.98097262804703
Dutch-LassySmall	0.9798361477936494	0.9165693779876768	0.9156411728636088	0.6913031942642561	0.9513570296383743	0.9109655154444675	1.0	0.9186213870538502	0.9545428644980585	0.7325669459002419	0.8842646316924693	0.9525453598531926	0.7874323850740739	0.953364896334164	0.9856027298255429	0.7256027983268895	0.9613463733654557	0.8375746603924721	0.9552315189882189	0.9535182312735054	0.9209737652232732	0.9507739016045456	0.8386430624219636	0.7986183306085546	0.8243185469330442	0.5567943416128949	0.8667741494750069	0.9571276597618431	0.6073692146760449	0.8831148826563584	0.9438912996292725	0.8681340768471797	0.9225183851043737	0.7532578249356913	0.9215451780484142	0.878232459089829	0.947740862976417	0.808658742360998	0.8596680520678378	0.8472848787127232	0.8144988288433688	0.9614520495700257	0.9600831093726845	0.982727278818081	0.8262284120129774	0.8699706750779175	0.7809292102349106	0.9463618125308052	0.9969010550915414	0.9546780773369031	0.9997724534541831	0.9015164400854169	0.9728574812274675	0.8098316844653892	0.9800169051573039	0.7546970298549515	0.824170163348645	0.9648121138544025	0.9611889343088653	0.9599145175961341	0.8171380382867439	0.8151533460675208	0.8247511970306042	0.8174314726511963
Portuguese-Bosque	0.9781862782838584	0.9993611419746324	0.999717148562795	0.9200593955939148	0.9897716720702133	0.9994861753118398	0.9186213870538502	1.0	0.9938511047494432	0.9402167892068191	0.9959476299375217	0.9949098012264376	0.9649606724257396	0.994598612789899	0.9710168433721786	0.9381535774786125	0.7955114613577877	0.9843531405754243	0.9942534418869833	0.994585496182552	0.9993773739702397	0.9956104719512215	0.9851152702005203	0.9711698953960461	0.9808869572442862	0.8393621851079015	0.9932179137379429	0.9935000397901614	0.8711625046804926	0.9936283159050383	0.9973472265190757	0.9917500806650278	0.9997622312712581	0.9502071474386147	0.9997338077907134	0.995669040815814	0.9958271882461929	0.9751567674502611	0.9915211085143344	0.984086499186487	0.9772453703783995	0.7933722724718122	0.795929171955347	0.9749045686822416	0.9784865871948597	0.993735954941954	0.9597135655442668	0.996626415086036	0.9201477200324104	0.9944268047570265	0.9180817461859816	0.9990127981150361	0.9834760252422663	0.9743326498045454	0.9778896204888808	0.9516893009930925	0.9799708365180498	0.9894137755494558	0.7929076939600962	0.7909743782249467	0.9758920231406786	0.9755339285278481	0.9779941804061099	0.9757654011862834
Italian-PoSTWITA	0.9946978161203816	0.993774604920296	0.9932499111216618	0.872395094473653	0.9917204944468598	0.9906685825725245	0.9545428644980585	0.9938511047494432	1.0	0.9002914310319897	0.9804718364776843	0.9990356918237769	0.9338468147099	0.9995999589907502	0.9909523129943925	0.8951017369480077	0.8468646575394932	0.9616623977797458	0.999755595466768	0.9999315843590434	0.9947875326760321	0.9997195514192918	0.9602324778185923	0.9395123264720526	0.9543295487893534	0.7762428299689625	0.9747344852198517	0.9997970585750058	0.8129144276562041	0.9794418083663348	0.9989815962839184	0.9750492929074751	0.9942285974477718	0.9113309854952076	0.9947992780853133	0.9797088605375015	0.9993131887403953	0.9464831809389335	0.9714925319900187	0.964618670188997	0.9483763193838508	0.845731709224795	0.8463252309653025	0.9928985809532227	0.9552633237737264	0.9758847394241015	0.9285572384566582	0.9993178296422209	0.957134824878785	0.9994524489846186	0.9547440547351541	0.9882973935158568	0.9957653246301187	0.9435784031388654	0.994467754801049	0.9129521025532076	0.9520592754701626	0.9990780177349782	0.8452803393359927	0.8433274642759006	0.9459278497123347	0.9455954724896619	0.9493236765413042	0.9459798956781187
Latin-ITTB	0.8516928331976047	0.9408946327442413	0.9432680153498605	0.9936796169104631	0.8921058804432379	0.9446919385888409	0.7325669459002419	0.9402167892068191	0.9002914310319897	1.0	0.9611930665624	0.9039412031789955	0.9961975727145318	0.9029321133770648	0.8347202627562565	0.9953972663303615	0.5536864403871694	0.9844010874387624	0.8997626498961521	0.9023277108324054	0.9364883390003524	0.9059797556335699	0.9809298974583659	0.9902394891783979	0.9861165380185403	0.9687645666261262	0.9716401433235906	0.897225979683831	0.9793245791308887	0.9632932950990437	0.9155368854240311	0.97317961826864	0.9358160967793866	0.9969291589140389	0.937873070458614	0.9662890461859939	0.9107251396604851	0.990493514319134	0.9746470562297541	0.9795567530524404	0.9879045734930769	0.5505412541359322	0.5534462090624569	0.8433630475050988	0.9871913523617457	0.9685190276777982	0.9955141745108185	0.910670571737115	0.7384506937679989	0.9007811982649324	0.7321943779512883	0.952379345951611	0.8688831781971239	0.9853950399184412	0.8510063750708171	0.997170278226835	0.9836230843313034	0.8833646653972622	0.5502298759709212	0.5477485759599426	0.9815749077808958	0.9842251886503665	0.9778270625517859	0.9795013830192771
